Study_ID,Study,Study_ID2,Treatment,pH,Species,Taxon,Calcifying,Response,Fig,ctrl,sd_ctrl,N_ctrl,treat,sd_treat,N_treat,comments
Manuel_paper1,"Thom et al., 1996",,Exp3 - 1.25x CO2 enrichment T1,,Zostera marina,Phanerogams,Non-calcifying,Growth,Fig.3a,4.3985,0.266028,29,5.4264,0.786683,29,
Manuel_paper1,"Thom et al., 1996",,Exp3 - 1.5x CO2 enrichment T1,,Zostera marina,Phanerogams,Non-calcifying,Growth,Fig.3a,4.3985,0.266028,29,5.9181,0.547258,29,
Manuel_paper1,"Thom et al., 1996",,Exp3 - 1.75x CO2 enrichment T1,,Zostera marina,Phanerogams,Non-calcifying,Growth,Fig.3a,4.3985,0.266028,29,7.1099,0.714476,29,
Manuel_paper1,"Thom et al., 1996",,Exp3 - 2.0x CO2 enrichment T1,,Zostera marina,Phanerogams,Non-calcifying,Growth,Fig.3a,4.2495,0.334435,29,3.7281,0.212823,29,
Manuel_paper1,"Thom et al., 1996",,Exp3 - 1.25x CO2 enrichment T2,,Zostera marina,Phanerogams,Non-calcifying,Growth,Fig.3a,4.2495,0.334435,29,3.3259,0.235625,29,
Manuel_paper1,"Thom et al., 1996",,Exp3 - 1.5x CO2 enrichment T2,,Zostera marina,Phanerogams,Non-calcifying,Growth,Fig.3a,4.2495,0.334435,29,4.2495,0.342036,29,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 14°C,7.7,Semibalanus balanoides,Crustacean,Calcifying,Growth,Fig1,14.3765,5.926898,1164,3.3627,1.638203,1164,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 19°C,7.7,Semibalanus balanoides,Crustacean,Calcifying,Growth,Fig1,4.3914,3.880005,1164,6.2521,2.077445,1164,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 14°C,7.7,Elminius modestus,Crustacean,Calcifying,Growth,Fig1,6.1429,0.94705,922,4.8898,0.702678,922,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 19°C,7.7,Elminius modestus,Crustacean,Calcifying,Growth,Fig1,6.8165,0.549922,922,3.7669,0.213897,922,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 14°C,7.7,Semibalanus balanoides,Crustacean,Calcifying,Survival,Fig4,88.8626,11.36474,1164,78.673,3.38524,1164,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 19°C,7.7,Semibalanus balanoides,Crustacean,Calcifying,Survival,Fig4,54.2844,4.221878,1164,26.5403,2.53893,1164,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 14°C,7.7,Elminius modestus,Crustacean,Calcifying,Survival,Fig4,76.3033,3.264339,922,79.6209,2.297127,922,
Manuel_paper2,"Findlay et al., 2010",,pH 7.7 - 19°C,7.7,Elminius modestus,Crustacean,Calcifying,Survival,Fig4,70.6161,6.165973,922,68.9573,4.23155,922,
Carter_Paper1,Talmage and Gobler 2010,,~250 CO2 (ppm),8.2,Argopecten irradians,Mollusc,Calcifying,Growth,2A,452.6315789,31.57894737,4,531.5789474,50,4,(shell diameter [um])
Carter_Paper1,Talmage and Gobler 2010,,~750 CO2 (ppm),7.8,Argopecten irradians,Mollusc,Calcifying,Growth,2A,452.6315789,31.57894737,4,373.6842105,39.47368421,4,(shell diameter [um])
Carter_Paper1,Talmage and Gobler 2010,,~1500 CO2 (ppm),7.5,Argopecten irradians,Mollusc,Calcifying,Growth,2A,452.6315789,31.57894737,4,313.1578947,23.68421053,4,(shell diameter [um])
Carter_Paper1,Talmage and Gobler 2010,,~250 CO2 (ppm),8.2,Mercenaria mercenaria,Mollusc,Calcifying,Growth,2A,281.5789474,2.631578947,4,521.0526316,39.47368421,4,(shell diameter [um])
Carter_Paper1,Talmage and Gobler 2010,,~750 CO2 (ppm),7.8,Mercenaria mercenaria,Mollusc,Calcifying,Growth,2A,281.5789474,2.631578947,4,257.8947368,7.894736842,4,(shell diameter [um])
Carter_Paper1,Talmage and Gobler 2010,,~1500 CO2 (ppm),7.5,Mercenaria mercenaria,Mollusc,Calcifying,Growth,2A,281.5789474,2.631578947,4,205.2631579,15.78947368,4,(shell diameter [um])
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Ulva sp.,Algae,Non-calcifying,Growth,Table 1,420,14.9,3,460.3,18.9,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Ulva sp.,Algae,Non-calcifying,Growth,Table 1,57.3,20.5,3,66.2,26.8,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Ulva sp.,Algae,Non-calcifying,Growth,Table 1,143.3,43.3,3,181.5,37.2,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Ulva sp.,Algae,Non-calcifying,Growth,Table 1,9.5,1.9,3,12.5,1.4,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Enteromorpha linza,Algae,Non-calcifying,Growth,Table 1,123.9,38.8,3,101.1,39.3,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Enteromorpha linza,Algae,Non-calcifying,Growth,Table 1,84.1,22,3,93.5,11.8,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Pophyra sp.,Algae,Non-calcifying,Growth,Table 1,126.1,10.9,3,103,11.7,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Pterocladia capillaceae,Algae,Non-calcifying,Growth,Table 1,21.8,7.4,3,23.7,6,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Pterocladia capillaceae,Algae,Non-calcifying,Growth,Table 1,11,2.1,3,7.8,2.2,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Soliieria sp.,Algae,Non-calcifying,Growth,Table 1,37.2,10.9,3,44.8,22,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Soliieria sp.,Algae,Non-calcifying,Growth,Table 1,127.3,6.5,3,125,16,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Hypnea musciformis,Algae,Non-calcifying,Growth,Table 1,32,9.6,3,-19.2,30.8,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Hypnea cornuta,Algae,Non-calcifying,Growth,Table 1,4.4,0.7,3,2.2,1.4,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Padina pavonia,Algae,Non-calcifying,Growth,Table 1,41.2,7.1,3,33.2,6.8,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Padina pavonia,Algae,Non-calcifying,Growth,Table 1,17.5,2.9,3,22.2,3.5,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Sargassum vulgare,Algae,Non-calcifying,Growth,Table 1,40,15.9,3,20.1,12.9,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Sargassum vulgare,Algae,Non-calcifying,Growth,Table 1,31.2,14.3,3,25.4,7.7,3,growth rate [% of biomass increase per week]
Carter_Paper2,Israel and Hophy 2002,,CO2 enriched seawater,,Cystoseira sp.,Algae,Non-calcifying,Growth,Table 1,17.2,6.6,3,20.8,7.1,3,growth rate [% of biomass increase per week]
