Study,comparison,Authors,year,Env,Life, Stage,Dur,Dens,Dist,Near total,Near surv,Far total,Far surv,lnOR,var
1,1,Augspurger and Kitajima,1992,1,T,1,77,10,100,7433.5,1963.8,588.6,245.9,0.77,0.009
1,2,Augspurger and Kitajima,1992,1,T,1,77,10,100,7433.5,1432.4,588.6,188.3,0.79,0.011
1,3, Augspurger and Kitajima,1992,1,T,1,77,10,100,1250,574.5,2500,857.9,0.493,0.005
1,4,Augspurger and Kitajima,1992,1,T,1,77,6,100,4676.19,1969.4,611.92,148,0.745,0.008
1,5,Augspurger and Kitajima,1992,1,T,1,77,6,100,4563.72,1773.2,541.19,88.9,?0.965,0.009
1,6,Augspurger and Kitajima,1992,1,T,1,77,6,100,750,319.7,1500,205.3,?1.615,0.011
1,7,Augspurger and Kitajima,1992,1,T,2,700,10,100,1963.84,278.4,245.96,37.8,0.107,0.037
1,8,Augspurger and Kitajima,1992,1,T,2,700,10,100,1432.36,189.2,188.27,20.9,?0.170,0.053
1,9,Augspurger and Kitajima,1992,1,T,2,700,10,100,574.45,61.8,856.85,185.6,0.759,0.02
1,10,Augspurger and Kitajima,1992,1,T,2,700,6,100,1969.43,107.7,147.986,23.7,1.832,0.123
1,11,Augspurger and Kitajima,1992,1,T,2,700,6,100,1773.15,133.8,88.87,7.1,0.125,0.166
1,12,Augspurger and Kitajima,1992,1,T,2,700,6,100,319.68,49.6,205.31,20.9,?0.450,0.068
2,1,Bermejo et al.,1998,2,S,1,4.5,50,,1250,342.5,2500,725,0.078,0.006
2,2,Bermejo et al.,1998,2,S,1,4.5,50,,1250,567.5,2500,905,?0.386,0.005
2,3,Bermejo et al.,1998,2,H,1,4.5,50,,1250,315,2500,490,?0.332,0.007
3,1,Boman and Casper,1995,2,T,1,21,1,,24,7.1,24,0,?2.048,0.579
3,2,Boman and Casper,1995,2,T,1,24,1,,24,16.4,24,1.2,?2.552,0.336
3,3,Boman and Casper,1995,2,T,1,21,1,,24,3,24,0,?1.606,1.054
3,4,Boman and Casper,1995,2,H,1,21,3,,72,5.2,72,35.4,2.015,0.133
3,5,Boman and Casper,1995,2,H,1,24,3,,72,1.4,72,49.7,2.866,0.119
3,6,Boman and Casper,1995,2,T,1,21,2,,48,9.9,48,2.1,?1.385,0.351
3,7,Boman and Casper,1995,2,T,1,24,2,,48,43.3,48,4.1,?3.169,0.162
3,8,Boman and Casper,1995,2,S,1,21,5,,120,10.3,120,56.2,1.876,0.082
3,9,Boman and Casper,1995,2,S,1,24,5,,120,35.5,120,89.3,1.773,0.066
3,10,Boman and Casper,1995,2,S,1,21,1,,24,16.5,24,0,?2.842,0.345
3,11,Boman and Casper,1995,2,S,1,24,1,,24,21,24,3.6,?2.745,0.314
4,1,Burkey,1994,1,T,1,20,1,25,28,11.9,70,38.4,0.473,0.193
5,1,Caccia and Ballare,1998,2,T,1,5,30,,960,299.7,960,536.9,1.004,0.009
5,2,Caccia and Ballare,1998,2,T,1,3,50,,500,36,500,217.3,1.908,0.021
6,1,Casper,1987,2,H,1,2,10,2.5,470,315,480,408,0.984,0.023
6,2,Casper,1987,2,H,1,3,10,2.5,920,497,920,488,?0.039,0.009
6,3,Casper,1987,2,H,1,3,10,2.5,960,787,970,786,?0.063,0.014
7,1,Casper,1988,2,H,1,21,75,1.5,750,456,750,428,?0.154,0.011
7,2,Casper,1988,2,H,1,21,75,1.5,750,184,750,297,0.69,0.012
8,1,Chapman and Chapman,1996,1,T,1,58,,n/f,60,2.4,1515,181.8,0.701,0.164
8,2,Chapman and Chapman,1996,1,T,1,170,,n/f,100,99,225,139.5,?1.860,0.073
8,3,Chapman and Chapman,1996,1,T,1,122,,n/f,80,76,60,60,1.384,0.84
8,4,Chapman and Chapman,1996,1,T,1,143,,n/f,16,12,720,136.8,?3.363,0.372
8,5,Chapman and Chapman,1996,1,T,1,63,,n/f,180,0,90,0,0.743,4.492
8,6,Chapman and Chapman,1996,1,T,1,103,,n/f,20,20,560,50.4,?8.213,0.458
8,7,Chapman and Chapman,1996,1,T,2,100,1,n/f,60,58,54,50.5,?0.585,0.652
8,8,Chapman and Chapman,1996,1,T,2,112,1,n/f,25,22,64,57.6,0.278,0.526
8,9,Chapman and Chapman,1996,1,T,2,127,1,n/f,15,10,56,54.5,3.297,0.855
8,10,Chapman and Chapman,1996,1,T,2,92,1,n/f,15,11,64,62.2,3.164,1.002
9,1,Cintra and Horna,1997,1,T,1,140,8,n/f,1024,12,1024,41,1.103,0.076
9,2,Cintra and Horna,1997,1,T,1,140,8,n/f,1024,67,1024,95,0.373,0.027
9,3,Cintra and Horna,1997,1,T,2,112,4,n/f,512,221,512,233,0.095,0.016
9,4, Cintra and Horna,1997,1,T,2,84,4,n/f,64,42,64,45,0.209,0.14
10,1,Coates-Estrada and Estrada,1988,1,T,1,46,,50,100,0,30,20,4.869,0.313
10,2,Coates-Estrada and Estrada,1988,1,T,1,46,10,50,100,0,100,10,1.913,0.383
10,3,Coates-Estrada and Estrada,1988,1,T,2,730,5,50,50,5,50,20,1.533,0.205
